Date,Open,High,Low,Close,Adj Close,Volume,ClosePrice,Fast10DayEMA,Slow40DayEMA,APO,Trades,Position,Pnl
2018-01-02,52.41699981689453,53.34700012207031,52.26150131225586,53.25,53.25,24752000,53.25,53.25,53.25,0.0,0,0,0
2018-01-03,53.21549987792969,54.31449890136719,53.160499572753906,54.124000549316406,54.124000549316406,28604000,54.124000549316406,53.25462955733458,53.25124207635806,0.0033874809765208624,0,0,0
2018-01-04,54.400001525878906,54.67850112915039,54.20009994506836,54.31999969482422,54.31999969482422,20092000,54.31999969482422,53.26063617101922,53.25285873092671,0.007777440092510801,0,0,0
2018-01-05,54.70000076293945,55.212501525878906,54.599998474121094,55.11149978637695,55.11149978637695,25582000,55.11149978637695,53.27549016954399,53.25686069617323,0.01862947337076548,0,0,0
2018-01-08,55.11149978637695,55.563499450683594,55.08100128173828,55.34700012207031,55.34700012207031,20952000,55.34700012207031,53.29429180786631,53.26195040286562,0.03234140500068605,0,0,0
2018-01-09,55.470001220703125,55.528499603271484,55.06155014038086,55.3129997253418,55.3129997253418,18050000,55.3129997253418,53.31285312948411,53.267010051310805,0.045843078173305685,0,0,0
2018-01-10,54.85499954223633,55.22999954223633,54.80550003051758,55.13050079345703,55.13050079345703,20856000,55.13050079345703,53.328902490475485,53.271424577634775,0.05747791284071013,0,0,0
2018-01-11,55.314998626708984,55.32624816894531,54.97949981689453,55.2760009765625,55.2760009765625,19566000,55.2760009765625,53.3456955430622,53.27606303073895,0.06963251232324552,0,0,0
2018-01-12,55.12049865722656,56.214500427246094,55.057498931884766,56.112998962402344,56.112998962402344,34410000,56.112998962402344,53.37248474891969,53.28343123091722,0.08905351800246564,0,0,0
2018-01-16,56.6254997253418,56.99549865722656,55.8916015625,56.0880012512207,56.0880012512207,31506000,56.0880012512207,53.40009889089803,53.291082865525816,0.10901602537221322,0,0,0
2018-01-17,56.31100082397461,56.630001068115234,55.85049819946289,56.5989990234375,56.5989990234375,24052000,56.5989990234375,53.43583092669413,53.30099621462939,0.13483471206473752,0,0,0
2018-01-18,56.570499420166016,56.6254997253418,55.875,56.489498138427734,56.489498138427734,23964000,56.489498138427734,53.47123911667738,53.31091543485782,0.16032368181956258,0,0,0
2018-01-19,56.59149932861328,56.893001556396484,56.415000915527344,56.8754997253418,56.8754997253418,35564000,56.8754997253418,53.513101725170145,53.32267581076724,0.19042591440290835,0,0,0
