Date,StatArbTradingSignal,ClosePrice,FinalStatArbTradingSignal,Trades,Position,Pnl
2014-01-01,0.0,0.9416816830635071,0.0,0,0,0.0
2014-01-02,0.0,0.9394522905349731,0.0,0,0,0.0
2014-01-03,-1.7740345965842376e-06,0.9372861385345459,-1.9039098292408635e-05,0,0,0.0
2014-01-06,0.0014055099619064582,0.9406895041465759,0.0031604479440468665,0,0,0.0
2014-01-07,0.005888531734258157,0.938007116317749,0.002699652645538784,0,0,0.0
2014-01-08,-0.015316081294533573,0.9282465577125549,-0.008743932470639251,0,0,0.0
2014-01-09,-0.013235332145226663,0.9240180253982544,-0.0015779087739452074,0,0,0.0
2014-01-10,0.017567430254291812,0.9221009016036987,0.0037959335600433195,0,0,0.0
2014-01-13,-0.03522781441774032,0.9170862436294556,-0.025492868692736977,-1,-1000000,0.0
2014-01-14,-0.034092907440732866,0.918948769569397,-0.016811565425509618,0,-1000000,-1862.5259399414062
2014-01-15,-0.01251740050418438,0.9134755730628967,0.005630805710302659,0,-1000000,3610.670566558838
2014-01-16,-0.002147111176581045,0.9133921265602112,0.035858335783155955,1,0,3694.1170692443848
2014-01-17,-0.0069232077571384915,0.9147457480430603,0.008094066483811377,0,0,3694.1170692443848
2014-01-20,0.025821301896415814,0.9119926691055298,0.031771412979482924,1,1000000,3694.1170692443848
2014-01-21,-0.0012095741815629987,0.913041889667511,-0.0022697192099506687,0,1000000,4743.337631225586
2014-01-22,0.0006862745934354542,0.9117432832717896,-0.0064972391533408645,-1,0,3444.7312355041504
2014-01-23,0.009920585746418303,0.9007385969161987,-0.014651382628789067,-1,-1000000,3444.7312355041504
2014-01-24,0.023008542397887678,0.8998551368713379,-0.019439205335735742,0,-1000000,4328.19128036499
2014-01-27,0.2661507993084789,0.90399569272995,-0.015323124186256538,1,0,187.6354217529297
2014-01-28,-0.07976730974524908,0.8997175097465515,-0.009134846856108348,0,0,187.6354217529297
2014-01-29,0.005814673441206994,0.8971828818321228,0.004272933401665207,0,0,187.6354217529297
2014-01-30,-0.027597044071138083,0.8943743705749512,-0.0030479748466325594,0,0,187.6354217529297
2014-01-31,-0.039959134937489836,0.8963866829872131,0.005883929919064591,0,0,187.6354217529297
2014-02-03,-0.08057935309346506,0.8990946412086487,0.0034714787399457683,0,0,187.6354217529297
2014-02-04,-0.14787408924218925,0.9003331065177917,-0.00309836123328783,0,0,187.6354217529297
2014-02-05,-0.031401930586940185,0.9022827744483948,0.0095165308519222,0,0,187.6354217529297
2014-02-06,-0.03429795555113496,0.9027307033538818,0.007504074881276168,0,0,187.6354217529297
2014-02-07,-0.02056589279870337,0.9034321904182434,0.00498988708983832,0,0,187.6354217529297
2014-02-10,0.026370766545537484,0.906051516532898,-0.00032314739282129944,0,0,187.6354217529297
2014-02-11,0.016913399772414902,0.9044862389564514,-0.0047401453756561575,0,0,187.6354217529297
2014-02-12,0.03865824577801258,0.9083972573280334,-0.001469075895568737,0,0,187.6354217529297
2014-02-13,0.03564481532194561,0.9095953106880188,-0.003542861554303335,0,0,187.6354217529297
2014-02-14,0.0350773608256926,0.9109708070755005,0.007912315726887416,0,0,187.6354217529297
2014-02-17,0.036327195219580465,0.9113277792930603,0.006202138406952139,0,0,187.6354217529297
2014-02-18,0.025027490396651517,0.9127418398857117,0.02596596729957724,1,1000000,187.6354217529297
2014-02-19,0.0051093550606974274,0.9131252765655518,0.02212055403165528,0,1000000,571.0721015930176
2014-02-20,0.006402046369517654,0.9033423662185669,0.023848242100811608,-1,0,-9211.838245391846
2014-02-21,0.01960787464234635,0.9006006717681885,0.02617083443987737,1,1000000,-9211.838245391846
2014-02-24,0.010542831805013368,0.8999280333518982,0.02439336961228609,0,1000000,-9884.476661682129
2014-02-25,0.021878760028436164,0.9042572379112244,0.022877736727667065,0,1000000,-5555.272102355957
2014-02-26,0.021390878794601477,0.9022095203399658,0.022769147896855607,-1,0,-7602.989673614502
2014-02-27,0.018044526489263493,0.897988498210907,0.018432034244979502,1,1000000,-7602.989673614502
2014-02-28,0.032169909142617,0.8990380167961121,0.02116133192348788,0,1000000,-6553.471088409424
2014-03-03,0.02208424164940482,0.9039629697799683,0.01675671670221543,-1,0,-1628.5181045532227
